"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"22uF";;;
2;"C2, C3";"C_0805_2012Metric";2;"10uF";;;
3;"C4, C5, C6";"C_0805_2012Metric";3;"0.1uF";;;
4;"D1";"D_SOD-123";1;"D_Schottky";;;
5;"J1, J2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";2;"Conn_01x02";;;
6;"Q1";"SOT-23";1;"Q_NMOS_GSD";;;
7;"R1, R2";"R_0805_2012Metric";2;"4.7k";;;
8;"R3";"R_0805_2012Metric";1;"100";;;
9;"R4";"R_0805_2012Metric";1;"10k";;;
10;"SW1";"SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH";1;"MST-12D18G3 SURFACE MOUNT SLIDE SWITCH";;;
11;"U1";"MODULE_XIAO_ESP32_S3";1;"XIAO_ESP32_S3";;;
12;"U3";"LGA-14_L3.0-W2.5-P0.50-TL";1;"LSM6DSVQTR";;;
