Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",143.614410,-91.787295,0.000000,top
"C2","10uF","C_0805_2012Metric",140.090513,-91.791583,0.000000,top
"C3","10uF","C_0805_2012Metric",157.500000,-98.500000,0.000000,top
"C4","0.1uF","C_0805_2012Metric",157.550000,-100.500000,0.000000,top
"C5","0.1uF","C_0805_2012Metric",161.500000,-101.000000,180.000000,top
"C6","0.1uF","C_0805_2012Metric",161.500000,-103.000000,180.000000,top
"D1","D_Schottky","D_SOD-123",148.500000,-90.500000,180.000000,top
"J1","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",161.550000,-92.750000,90.000000,top
"J2","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",150.250000,-87.500000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-23",153.500000,-90.500000,90.000000,top
"R1","4.7k","R_0805_2012Metric",157.587500,-91.000000,0.000000,top
"R2","4.7k","R_0805_2012Metric",157.500000,-95.000000,0.000000,top
"R3","100","R_0805_2012Metric",154.912500,-84.000000,0.000000,top
"R4","10k","R_0805_2012Metric",154.912500,-86.950000,0.000000,top
"SW1","MST-12D18G3 SURFACE MOUNT SLIDE SWITCH","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH",139.500000,-87.500000,-90.000000,top
"U1","XIAO_ESP32_S3","MODULE_XIAO_ESP32_S3",145.000000,-102.000000,90.000000,top
"U3","LSM6DSVQTR","LGA-14_L3.0-W2.5-P0.50-TL",157.750000,-103.740000,90.000000,top
